1	Hippocampus left
2	Hippocampus right
3	Amygdala left
4	Amygdala right
5	Anterior temporal lobe, medial part left
6	Anterior temporal lobe, medial part right
7	Anterior temporal lobe, lateral part left
8	Anterior temporal lobe, lateral part right
9	Gyri parahippocampalis et ambiens anterior part left
10	Gyri parahippocampalis et ambiens anterior part right
11	Superior temporal gyrus, middle part left
12	Superior temporal gyrus, middle part right
13	Medial and inferior temporal gyri anterior part left
14	Medial and inferior temporal gyri anterior part right
15	Lateral occipitotemporal gyrus, gyrus fusiformis anterior part left
16	Lateral occipitotemporal gyrus, gyrus fusiformis anterior part right
17	Cerebellum left
18	Cerebellum right
19	Brainstem, spans the midline
20	Insula right
21	Insula left
22	Occipital lobe right
23	Occipital lobe left
24	Gyri parahippocampalis et ambiens posterior part right
25	Gyri parahippocampalis et ambiens posterior part left
26	Lateral occipitotemporal gyrus, gyrus fusiformis posterior part right
27	Lateral occipitotemporal gyrus, gyrus fusiformis posterior part left
28	Medial and inferior temporal gyri posterior part right
29	Medial and inferior temporal gyri posterior part left
30	Superior temporal gyrus, posterior part right
31	Superior temporal gyrus, posterior part left
32	Cingulate gyrus, anterior part right
33	Cingulate gyrus, anterior part left
34	Cingulate gyrus, posterior part right
35	Cingulate gyrus, posterior part left
36	Frontal lobe right
37	Frontal lobe left
38	Parietal lobe right
39	Parietal lobe left
40	Caudate nucleus right
41	Caudate nucleus left
42	Thalamus right
43	Thalamus left
44	Subthalamic nucleus right
45	Subthalamic nucleus left 
46	Lentiform Nucleus right
47	Lentiform Nucleus left
48	Corpus Callosum
49	Lateral Ventricle left
50	Lateral Ventricle right
